ID,Portal,Priority,Area,URL,Steps,Expected Result,Result,Severity,Tester,Date,Notes,Bug ID
UAT-001,Public,P0,Homepage,/,Open homepage on mobile + desktop,Landing loads; no horizontal scroll; CTA visible,Pass,Minor,Magori,2026-07-04,Deployed commit 9302870; hero + products grid OK,
UAT-002,Public,P0,Products,/loans,Browse product grid; open one product,Illustrations load; detail + calculator work,Pass,Minor,Magori,2026-07-04,Product cards + tiered calculator verified,
UAT-007,Borrower,P0,Registration,/register,Register with phone + PIN,Account created; can login,,,,,Run with dedicated UAT phone — do not use live member,
UAT-003,Public,P1,Landing A/B,/?landing=b,Open variant B; refresh session,Product-first layout persists,,,,,,
UAT-004,Public,P1,Marketplace,/marketplace,Filter on mobile; open asset card,Bottom sheet filters; image-led cards,,,,,,
UAT-005,Public,P2,Help FAB,Any public page,Tap help FAB; open chat and feedback,Single menu; both options work,,,,,,
UAT-006,Public,P2,Partner footer,/,Scroll to footer,Partner Portal + register links work,,,,,,
UAT-007,Borrower,P0,Registration,/register,Register with phone + PIN,Account created; can login,,,,,,
UAT-008,Borrower,P0,Login,/login,Login with PIN,Dashboard loads,,,,,,
UAT-009,Borrower,P0,Profile,/borrower/profile/personal,Complete personal + NIDA,Saves; readiness updates,,,,,,
UAT-010,Borrower,P0,Face verify,/borrower/face-verification,Complete face steps on mobile HTTPS,Camera works; submission succeeds,,,,,,
UAT-011,Borrower,P0,Apply flow,/loans → apply,Pick product; complete wizard; submit,Application appears in portal,,,,,,
UAT-012,Borrower,P1,Account merge,/borrower/profile,Switch Profile | Membership segments,Both panels load; membership redirect works,,,,,,
UAT-013,Borrower,P1,Quick actions,/borrower,Dashboard tiles: Apply Marketplace Payments Profile,Each link correct,,,,,,
UAT-014,Borrower,P1,Loans hub,/borrower/loans,Switch tabs; cards vs table,Snap scroll tabs on mobile,,,,,,
UAT-015,Borrower,P1,Locale,borrower nav,Switch EN ↔ SW,Labels update on dashboard + apply,,,,,,
UAT-016,Borrower,P1,Payments,/borrower/payments/create,Enter amount on mobile,Numeric keypad opens,,,,,,
UAT-017,Borrower,P2,Referrals,/borrower/referrals,Copy + WhatsApp share,Share tools work,,,,,,
UAT-018,Borrower,P2,Marketplace,/borrower/marketplace,Category bottom sheet + filters,Mobile UX smooth,,,,,,
UAT-019,Admin,P0,Pipeline,/admin/loan-applications,Find test application,Visible with correct status,,,,,,
UAT-020,Admin,P0,Review,/admin/loan-applications/{id},Review → approve,Status advances,,,,,,
UAT-021,Admin,P0,Disburse,/admin/loans,Disburse approved loan,Loan active; borrower notified,,,,,,
UAT-022,Admin,P1,Bank payment,/admin,Approve membership/bank payment if used,Membership activates,,,,,,
UAT-023,Admin,P1,Settings,/admin/settings/company-profile,Verify base URL,Matches kopafasta.triptz.net,,,,,,
UAT-024,Admin,P2,Reports,/admin/reports,Open portfolio / PAR report,Figures load without error,,,,,,
UAT-025,Asset,P1,Journey B,/marketplace → apply,Reserve asset; complete asset apply,Application linked to asset,,,,,,
UAT-026,Guarantor,P2,Internal,/borrower/loans (guarantor tab),Accept guarantor request,Status updates,,,,,,
UAT-027,Affiliate,P2,Dashboard,/affiliate-portal,Copy code; share link,Referral tools work,,,,,,
UAT-028,Affiliate,P2,Wallet,/affiliate-portal/wallet,Request payout (numeric input),Form submits,,,,,,
UAT-029,Investor,P2,Pools,/investor/pools,Filter + open pool,Bottom sheet + pool card,,,,,,
UAT-030,Investor,P2,Wallet,/investor/wallet,Deposit form numeric input,Keypad + money format,,,,,,
UAT-031,E2E,P0,Journey A,Full path,Register → apply IL → approve → disburse,End-to-end in < 48h ops time,,,,,,
UAT-032,E2E,P1,Journey B,Full path,Marketplace asset → apply AL → approve,Asset flow complete,,,,,,
UAT-033,E2E,P2,Journey C,Group loan,Leader invites member → group submit,Group status engine correct,,,,,,
